,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,uid
22183,1987.0,10.0,3,6.0,809.0,800.0,913.0,907.0,PS,1519.0,,64.0,67.0,,6.0,9.0,3.0,SFO,337.0,,,0.0,,0.0,,,,,,
199035,1987.0,12.0,19,6.0,1552.0,1430.0,1925.0,1750.0,UA,178.0,,153.0,140.0,,95.0,82.0,0.0,DEN,1024.0,,,0.0,,0.0,,,,,,
142761,1987.0,12.0,23,3.0,830.0,830.0,930.0,930.0,PA (1),244.0,,60.0,60.0,,0.0,0.0,2.0,LGA,214.0,,,0.0,,0.0,,,,,,
133078,1987.0,12.0,4,5.0,615.0,615.0,722.0,720.0,HP,430.0,,67.0,65.0,,2.0,0.0,11.0,PHX,328.0,,,0.0,,0.0,,,,,,
209055,1987.0,11.0,28,6.0,1448.0,1440.0,1633.0,1629.0,TW,543.0,,105.0,109.0,,4.0,8.0,1.0,DFW,551.0,,,0.0,,0.0,,,,,,
75257,1987.0,12.0,6,7.0,1430.0,1430.0,1615.0,1540.0,TW,688.0,,105.0,70.0,,35.0,0.0,14.0,STL,392.0,,,0.0,,0.0,,,,,,
111427,1987.0,12.0,18,5.0,807.0,808.0,1407.0,1355.0,AA,672.0,,240.0,227.0,,12.0,-1.0,0.0,DFW,1660.0,,,0.0,,0.0,,,,,,
110362,1987.0,12.0,10,4.0,801.0,800.0,849.0,905.0,UA,879.0,,108.0,125.0,,-16.0,1.0,8.0,ORD,589.0,,,0.0,,0.0,,,,,,
100978,1987.0,11.0,24,2.0,1833.0,1830.0,2057.0,2045.0,HP,454.0,,84.0,75.0,,12.0,3.0,3.0,PHX,370.0,,,0.0,,0.0,,,,,,
136109,1987.0,11.0,26,4.0,1114.0,1115.0,1259.0,1309.0,US,78.0,,105.0,114.0,,-10.0,-1.0,6.0,BWI,787.0,,,0.0,,0.0,,,,,,
